"Substrate_ACC","Substrate_GN","sites","Peptides","log2_TMT_127N_126_median..Basal.breast.cancer.rep2.Basal.breast.cancer.rep1.","log2_TMT_127C_126_median..Luminal.breast.cancer.rep2.Basal.breast.cancer.rep1.","log2_TMT_128N_126_median..Luminal.breast.cancer.rep1.Basal.breast.cancer.rep1.","log2_TMT_128C_126_median..Basal.breast.cancer.rep1.Basal.breast.cancer.rep1.","log2_TMT_129N_126_median..Luminal.breast.cancer.rep3.Basal.breast.cancer.rep1.","log2_TMT_129C_126_median..Luminal.breast.cancer.rep2.Basal.breast.cancer.rep1.","log2_TMT_130N_126_median..Basal.breast.cancer.rep3.Basal.breast.cancer.rep1.","log2_TMT_130C_126_median..Basal.breast.cancer.rep2.Basal.breast.cancer.rep1.","log2_TMT_131_126_median..Luminal.breast.cancer.rep1.Basal.breast.cancer.rep1."
"Q9H9L4","KANSL2","NA","NA",-0.208,0.049,-0.461,0.027,-0.489,-0.414,0.242,0.14,-0.452
"P22392","NME2","NA","NA",0.168,0.014,0.314,0.041,0,0.356,-0.317,-0.002,0.106
"P15531","NME1","NA","NA",0.168,0.014,0.314,0.041,0,0.356,-0.317,-0.002,0.106
"P15532","Nme1","NA","NA",0.168,0.014,0.314,0.041,0,0.356,-0.317,-0.002,0.106
"Q01768","Nme2","NA","NA",0.168,0.014,0.314,0.041,0,0.356,-0.317,-0.002,0.106
"P48444","ARCN1","NA","NA",-0.204,0.647,0.584,0.008,0.615,0.656,0.714,0.001,0.742
"Q5XJY5","Arcn1","NA","NA",-0.204,0.647,0.584,0.008,0.615,0.656,0.714,0.001,0.742
"P06576","ATP5F1B","NA","NA",-0.178,0.422,0.451,0.093,0.545,0.353,0.735,0.214,0.318
"P56480","Atp5f1b","NA","NA",-0.178,0.422,0.451,0.093,0.545,0.353,0.735,0.214,0.318
"Q9Y2W1","THRAP3","NA","NA",-0.188,-0.252,-0.399,0.245,-0.191,-0.147,0.164,-0.175,-0.171
"Q13185","CBX3","NA","NA",-0.202,-0.023,-0.111,0.086,-0.327,-0.094,0.394,0.419,-0.353
"Q9Y3L3","SH3BP1","NA","NA",0.16,0.065,-0.508,0.374,0.05,0.098,0.477,-0.123,-0.047
"P10809","HSPD1","NA","NA",-0.458,0.513,0.437,0.117,0.494,0.636,0.258,0.053,0.531
"P63038","Hspd1","NA","NA",-0.458,0.513,0.437,0.117,0.494,0.636,0.258,0.053,0.531
"Q12931","TRAP1","NA","NA",-0.135,-0.02,-0.308,0.164,0.015,0.077,0.172,-0.2,-0.051
"Q9CQN1","Trap1","NA","NA",-0.135,-0.02,-0.308,0.164,0.015,0.077,0.172,-0.2,-0.051
"P09602","Hmgn2","NA","NA",-0.091,-1.105,-1.43,0.006,-1.662,-1.23,-0.271,-0.464,-2.191
"P31948","STIP1","NA","NA",0.194,0.581,0.639,0.525,0.753,0.749,0.262,0.145,0.536
"Q60864","Stip1","NA","NA",0.194,0.581,0.639,0.525,0.753,0.749,0.262,0.145,0.536
"Q96T23","RSF1","NA","NA",-0.337,0.128,0.006,0.072,-0.197,0.058,0.058,-0.193,-0.036
"O95251","KAT7","NA","NA",-0.207,-0.036,0.092,0.277,-0.005,0.189,0.335,-0.057,0.216
"Q5SVQ0","Kat7","NA","NA",-0.207,-0.036,0.092,0.277,-0.005,0.189,0.335,-0.057,0.216
"Q9BZZ5","API5","NA","NA",0.186,-0.968,-0.539,-0.128,0.203,-0.663,-0.009,-0.188,-0.087
"Q9H2U2","PPA2","NA","NA",-0.259,0.293,0.219,0.128,0.473,0.348,-0.029,-0.181,0.147
"Q15424","SAFB","NA","NA",0.425,-0.536,-0.48,0.491,-0.699,-0.119,0.462,-0.174,-0.344
"P49589","CARS1","NA","NA",-0.024,0.702,0.563,0.166,0.459,0.857,0.186,0.478,0.553
"Q06323","PSME1","NA","NA",-0.34,1.215,0.995,0.723,1.329,1.115,0.2,0.583,0.873
"O76021","RSL1D1","NA","NA",-0.381,-0.36,-0.844,-0.07,-0.509,-0.499,-0.014,-0.451,-0.696
"O60506","SYNCRIP","NA","NA",-0.219,-0.211,-0.593,-0.26,-0.283,-0.415,-0.179,0.236,-0.259
"Q7TMK9","Syncrip","NA","NA",-0.219,-0.211,-0.593,-0.26,-0.283,-0.415,-0.179,0.236,-0.259
"Q13228","SELENBP1","NA","NA",-0.2,0.127,0.08,0.011,0.109,0.21,0.519,-0.022,-0.145
"P55769","SNU13","NA","NA",0.307,0.325,0.052,0.363,0.55,0.308,0.141,0.062,0.175
"O75400","PRPF40A","NA","NA",-0.275,-0.336,-0.511,-0.081,-0.055,-0.381,0.118,-0.008,-0.303
"Q9R1C7","Prpf40a","NA","NA",-0.275,-0.336,-0.511,-0.081,-0.055,-0.381,0.118,-0.008,-0.303
"Q06265","EXOSC9","NA","NA",-0.532,-0.186,-0.542,0.017,-0.526,-0.102,-0.13,-0.274,-0.502
"Q96HS1","PGAM5","NA","NA",-0.226,0.651,1.073,-0.956,1.413,1.216,-0.636,-0.076,0.709
"O75390","CS","NA","NA",0.063,0.654,0.544,0.471,0.741,0.765,0.259,0.343,0.496
"P18206","VCL","NA","NA",-0.305,0.59,0.765,0.23,0.775,0.88,0.277,-0.165,0.81
"Q64727","Vcl","NA","NA",-0.305,0.59,0.765,0.23,0.775,0.88,0.277,-0.165,0.81
"Q9NUB1","ACSS1","NA","NA",-0.131,0.7,0.006,0.058,0.752,0.234,0.175,1.561,0.299
"Q9H4Z2","ZNF335","NA","NA",0.196,0.132,-0.166,0.451,-0.188,-0.099,0.425,0.295,0.126
"P62826","RAN","NA","NA",-0.211,-0.444,-0.449,0.159,-0.169,-0.322,0.084,-0.113,-0.288
"P62827","Ran","NA","NA",-0.211,-0.444,-0.449,0.159,-0.169,-0.322,0.084,-0.113,-0.288
"P78527","PRKDC","NA","NA",-0.043,0.241,0.297,-0.04,0.304,0.311,0.389,0.367,0.112
"P97313","Prkdc","NA","NA",-0.043,0.241,0.297,-0.04,0.304,0.311,0.389,0.367,0.112
"P08133","ANXA6","NA","NA",-0.203,1.228,1.019,0.527,1.488,1.105,0.731,-0.042,1.191
"P14824","Anxa6","NA","NA",-0.203,1.228,1.019,0.527,1.488,1.105,0.731,-0.042,1.191
"O75874","IDH1","NA","NA",-0.024,0.626,0.444,0.313,0.76,0.658,0.236,0.042,0.382
"O88844","Idh1","NA","NA",-0.024,0.626,0.444,0.313,0.76,0.658,0.236,0.042,0.382
"P24752","ACAT1","NA","NA",-0.185,0.37,0.06,0.184,0.381,0.319,0.137,-0.096,0.121
"P11387","TOP1","NA","NA",-0.417,-0.757,-0.817,0.094,-0.483,-0.409,0.107,-0.206,-0.77
"Q04750","Top1","NA","NA",-0.417,-0.757,-0.817,0.094,-0.483,-0.409,0.107,-0.206,-0.77
"P22307","SCP2","NA","NA",-0.039,0.518,0.426,0.2,0.417,0.337,0.387,-0.032,0.557
"P10155","RO60","NA","NA",-0.156,0.692,0.667,0.12,1.001,0.796,0.538,0.007,0.705
"P97807","Fh","NA","NA",-0.047,-0.284,-0.438,0.171,-0.268,-0.421,0.106,0.161,-0.306
"P51965","UBE2E1","NA","NA",-0.217,-0.271,-0.597,0.243,-0.167,-0.381,-0.081,-0.237,-0.215
"P52482","Ube2e1","NA","NA",-0.217,-0.271,-0.597,0.243,-0.167,-0.381,-0.081,-0.237,-0.215
"Q96CW1","AP2M1","NA","NA",0.33,0.138,0.136,0.227,0.353,0.263,0.448,0.415,0.33
"P84091","Ap2m1","NA","NA",0.33,0.138,0.136,0.227,0.353,0.263,0.448,0.415,0.33
"P35579","MYH9","NA","NA",-0.213,0.46,0.453,0.093,0.366,0.332,-0.055,0.035,0.319
"Q8VDD5","Myh9","NA","NA",-0.213,0.46,0.453,0.093,0.366,0.332,-0.055,0.035,0.319
"P68363","TUBA1B","NA","NA",-0.208,0.362,0.118,0.082,0.395,0.402,0.142,-0.026,0.188
"Q71U36","TUBA1A","NA","NA",-0.208,0.362,0.118,0.082,0.395,0.402,0.142,-0.026,0.188
"P0DPH8","TUBA3D","NA","NA",-0.208,0.362,0.118,0.082,0.395,0.402,0.142,-0.026,0.188
"Q6PEY2","TUBA3E","NA","NA",-0.208,0.362,0.118,0.082,0.395,0.402,0.142,-0.026,0.188
"Q9BQE3","TUBA1C","NA","NA",-0.208,0.362,0.118,0.082,0.395,0.402,0.142,-0.026,0.188
"P05213","Tuba1b","NA","NA",-0.208,0.362,0.118,0.082,0.395,0.402,0.142,-0.026,0.188
"P68369","Tuba1a","NA","NA",-0.208,0.362,0.118,0.082,0.395,0.402,0.142,-0.026,0.188
"P05214","Tuba3a","NA","NA",-0.208,0.362,0.118,0.082,0.395,0.402,0.142,-0.026,0.188
"P68373","Tuba1c","NA","NA",-0.208,0.362,0.118,0.082,0.395,0.402,0.142,-0.026,0.188
"O15355","PPM1G","NA","NA",0.072,0.639,0.034,0.344,-0.056,-0.091,-0.35,-0.251,-0.339
"P09622","DLD","NA","NA",-0.083,0.124,0.075,-0.149,0.508,0.069,0.171,0.012,0.077
"Q8WW12","PCNP","NA","NA",-0.089,-0.189,-0.007,0.031,0.27,0.113,0.732,0.467,0.066
"Q6P8I4","Pcnp","NA","NA",-0.089,-0.189,-0.007,0.031,0.27,0.113,0.732,0.467,0.066
"Q13813","SPTAN1","NA","NA",0.02,0.578,0.799,0.064,1.04,0.205,0.253,-0.256,0.227
"Q08379","GOLGA2","NA","NA",-0.375,0.044,-0.127,-0.036,-0.174,0.185,0.003,-0.304,-0.017
"Q921M4","Golga2","NA","NA",-0.375,0.044,-0.127,-0.036,-0.174,0.185,0.003,-0.304,-0.017
"P20962","PTMS","NA","NA",-0.042,0.752,1.131,0.51,1.233,1.437,0.292,0.505,1.159
"Q9D0J8","Ptms","NA","NA",-0.042,0.752,1.131,0.51,1.233,1.437,0.292,0.505,1.159
"Q9BZI1","IRX2","NA","NA",-0.348,0.105,-0.04,0.189,-0.033,0.094,0.899,0.102,0.056
"P81066","Irx2","NA","NA",-0.348,0.105,-0.04,0.189,-0.033,0.094,0.899,0.102,0.056
"P15924","DSP","NA","NA",-0.399,-0.292,-0.011,-0.261,-0.14,-0.106,-0.265,-0.606,-0.139
"E9Q557","Dsp","NA","NA",-0.399,-0.292,-0.011,-0.261,-0.14,-0.106,-0.265,-0.606,-0.139
"P22307","SCP2","NA","NA",0.079,0.224,0.365,0.246,0.328,0.339,0.188,0.14,0.164
"P32020","Scp2","NA","NA",0.079,0.224,0.365,0.246,0.328,0.339,0.188,0.14,0.164
"Q8CGC7","Eprs1","NA","NA",0.066,0.167,0.151,0.445,0.191,0.189,0.369,0.117,0.339
"O15014","ZNF609","NA","NA",-0.338,0.078,0.039,0.135,0.165,0.098,0.228,0.198,0.079
"Q8BZ47","Znf609","NA","NA",-0.338,0.078,0.039,0.135,0.165,0.098,0.228,0.198,0.079
"P08238","HSP90AB1","NA","NA",-0.106,0.535,-0.217,0.058,-0.634,0.345,0.029,-0.16,0.019
"P11499","Hsp90ab1","NA","NA",-0.106,0.535,-0.217,0.058,-0.634,0.345,0.029,-0.16,0.019
"Q9Y2X3","NOP58","NA","NA",-0.454,0.827,0.514,0.126,0.939,0.889,0.201,0.922,0.518
"Q6DFW4","Nop58","NA","NA",-0.454,0.827,0.514,0.126,0.939,0.889,0.201,0.922,0.518
"P13667","PDIA4","NA","NA",0.64,-0.184,0.233,0.126,0.289,-0.16,0.296,0.219,-0.01
"P07814","EPRS1","NA","NA",-0.02,0.211,-0.181,0.273,0.086,0.239,0.352,0.292,0.151
"Q8CGC7","Eprs1","NA","NA",-0.02,0.211,-0.181,0.273,0.086,0.239,0.352,0.292,0.151
"Q96F10","SAT2","NA","NA",-0.157,-0.156,-0.009,0.066,-0.209,0.091,0.165,0.119,-0.068
"Q86V15","CASZ1","NA","NA",-0.093,0.332,0.288,0.624,0.344,0.339,0.347,0.343,-0.121
"Q92733","PRCC","NA","NA",-0.467,-0.306,-0.15,-0.133,-0.314,-0.321,0.289,-0.328,-0.306
"P19367","HK1","NA","NA",-0.154,0.575,0.564,0.247,0.824,0.703,0.294,-0.168,0.43
"Q66K64","DCAF15","NA","NA",-0.091,-0.029,-0.302,0.428,-0.676,0.148,0.293,0.086,-0.002
"Q96T37","RBM15","NA","NA",-0.197,-0.308,-0.656,0.213,-0.249,-0.307,0.374,0.331,-0.542
"E9Q5C9","Nolc1","NA","NA",-0.398,-0.048,-0.356,0.013,-0.221,-0.134,0.237,-0.377,-0.044
"P49756","RBM25","NA","NA",-0.139,-0.039,-0.267,-0.079,-0.069,0.002,-0.024,-0.323,-0.049
"B2RY56","Rbm25","NA","NA",-0.139,-0.039,-0.267,-0.079,-0.069,0.002,-0.024,-0.323,-0.049
"O43175","PHGDH","NA","NA",-0.174,0.608,0.566,0.286,0.699,0.758,0.416,-0.032,0.503
"Q61753","Phgdh","NA","NA",-0.174,0.608,0.566,0.286,0.699,0.758,0.416,-0.032,0.503
"P10636","MAPT","NA","NA",0.119,0.054,-0.048,0.463,0.615,0.008,1.23,1.174,0.205
"P10637","Mapt","NA","NA",0.119,0.054,-0.048,0.463,0.615,0.008,1.23,1.174,0.205
"P22234","PAICS","NA","NA",-0.321,0.193,0.217,0.042,0.174,0.269,-0.028,-0.011,0.08
"Q9DCL9","Paics","NA","NA",-0.321,0.193,0.217,0.042,0.174,0.269,-0.028,-0.011,0.08
"A0A0B4J2D5","GATD3B","NA","NA",-0.125,0.093,0.016,0.249,0.256,0.137,0.427,0.16,0.074
"P0DPI2","GATD3","NA","NA",-0.125,0.093,0.016,0.249,0.256,0.137,0.427,0.16,0.074
"Q9D172","Gatd3","NA","NA",-0.125,0.093,0.016,0.249,0.256,0.137,0.427,0.16,0.074
"Q15075","EEA1","NA","NA",0.184,0.361,0.356,0.405,0.514,0.509,0.318,0.327,0.075
"P19367","HK1","NA","NA",-0.127,0.396,0.433,0.13,0.451,0.614,0.159,-0.04,0.4
"Q13162","PRDX4","NA","NA",-0.089,0.652,0.361,0.33,0.159,0.312,0.66,0.574,0.691
"O08807","Prdx4","NA","NA",-0.089,0.652,0.361,0.33,0.159,0.312,0.66,0.574,0.691
"P35579","MYH9","NA","NA",-0.204,0.248,0.134,0.076,0.113,0.27,-0.033,-0.115,0.349
"Q16836","HADH","NA","NA",-0.336,-0.202,-0.172,0.034,0.155,0.01,0.239,0.42,-0.166
"Q61425","Hadh","NA","NA",-0.336,-0.202,-0.172,0.034,0.155,0.01,0.239,0.42,-0.166
"P42568","MLLT3","NA","NA",-0.369,1.422,1.306,0.325,1.178,1.415,0.143,2.441,1.322
"P41227","NAA10","NA","NA",-0.073,0.153,0.005,0.128,0.018,0.393,0.041,3.013,0.029
"Q9BSU3","NAA11","NA","NA",-0.073,0.153,0.005,0.128,0.018,0.393,0.041,3.013,0.029
"Q9QY36","Naa10","NA","NA",-0.073,0.153,0.005,0.128,0.018,0.393,0.041,3.013,0.029
"Q3UX61","Naa11","NA","NA",-0.073,0.153,0.005,0.128,0.018,0.393,0.041,3.013,0.029
"P02545","LMNA","NA","NA",0.134,0.823,0.782,0.338,1.092,0.756,0.326,0.51,1.218
"P48678","Lmna","NA","NA",0.134,0.823,0.782,0.338,1.092,0.756,0.326,0.51,1.218
"Q01082","SPTBN1","NA","NA",0.12,0.049,0.011,0.179,0.433,0.337,0.288,0.889,0.056
"Q62261","Sptbn1","NA","NA",0.12,0.049,0.011,0.179,0.433,0.337,0.288,0.889,0.056
"Q9H082","RAB33B","NA","NA",-0.059,0.767,0.517,0.25,0.892,0.866,0.486,0.228,0.713
"O35963","Rab33b","NA","NA",-0.059,0.767,0.517,0.25,0.892,0.866,0.486,0.228,0.713
"Q96E17","RAB3C","NA","NA",-0.059,0.767,0.517,0.25,0.892,0.866,0.486,0.228,0.713
"P20336","RAB3A","NA","NA",-0.059,0.767,0.517,0.25,0.892,0.866,0.486,0.228,0.713
"O95716","RAB3D","NA","NA",-0.059,0.767,0.517,0.25,0.892,0.866,0.486,0.228,0.713
"P61106","RAB14","NA","NA",-0.059,0.767,0.517,0.25,0.892,0.866,0.486,0.228,0.713
"Q96DA2","RAB39B","NA","NA",-0.059,0.767,0.517,0.25,0.892,0.866,0.486,0.228,0.713
"Q92930","RAB8B","NA","NA",-0.059,0.767,0.517,0.25,0.892,0.866,0.486,0.228,0.713
"P61006","RAB8A","NA","NA",-0.059,0.767,0.517,0.25,0.892,0.866,0.486,0.228,0.713
"P61026","RAB10","NA","NA",-0.059,0.767,0.517,0.25,0.892,0.866,0.486,0.228,0.713
"P62823","Rab3c","NA","NA",-0.059,0.767,0.517,0.25,0.892,0.866,0.486,0.228,0.713
"P63011","Rab3a","NA","NA",-0.059,0.767,0.517,0.25,0.892,0.866,0.486,0.228,0.713
"P35276","Rab3d","NA","NA",-0.059,0.767,0.517,0.25,0.892,0.866,0.486,0.228,0.713
"Q91V41","Rab14","NA","NA",-0.059,0.767,0.517,0.25,0.892,0.866,0.486,0.228,0.713
"Q8BHC1","Rab39b","NA","NA",-0.059,0.767,0.517,0.25,0.892,0.866,0.486,0.228,0.713
"P55258","Rab8a","NA","NA",-0.059,0.767,0.517,0.25,0.892,0.866,0.486,0.228,0.713
"P61028","Rab8b","NA","NA",-0.059,0.767,0.517,0.25,0.892,0.866,0.486,0.228,0.713
"P61027","Rab10","NA","NA",-0.059,0.767,0.517,0.25,0.892,0.866,0.486,0.228,0.713
"Q14964","RAB39A","NA","NA",-0.059,0.767,0.517,0.25,0.892,0.866,0.486,0.228,0.713
"Q8BHD0","Rab39a","NA","NA",-0.059,0.767,0.517,0.25,0.892,0.866,0.486,0.228,0.713
"Q9NPJ3","ACOT13","NA","NA",-0.361,0.172,-0.052,-0.056,0.01,-0.264,-0.085,-0.014,0.084
"P11142","HSPA8","NA","NA",-0.04,0.148,0.148,0.152,0.389,0.487,0.153,0.172,0.286
"P63017","Hspa8","NA","NA",-0.04,0.148,0.148,0.152,0.389,0.487,0.153,0.172,0.286
"P15170","GSPT1","NA","NA",-0.365,0.156,0.082,0.15,0.073,0.337,0.054,0.138,0.016
"Q8IYD1","GSPT2","NA","NA",-0.365,0.156,0.082,0.15,0.073,0.337,0.054,0.138,0.016
"Q8R050","Gspt1","NA","NA",-0.365,0.156,0.082,0.15,0.073,0.337,0.054,0.138,0.016
"Q149F3","Gspt2","NA","NA",-0.365,0.156,0.082,0.15,0.073,0.337,0.054,0.138,0.016
"P51859","Hdgf","NA","NA",-0.176,-0.229,-0.283,-0.109,-0.241,-0.052,-0.052,0.073,-0.46
"P10155","RO60","NA","NA",-0.063,0.379,0.339,0.17,0.493,0.355,0.182,0.083,0.522
"O60885","BRD4","NA","NA",-0.181,-0.472,-0.457,0.264,-0.458,-0.605,0.191,0.096,-0.643
"Q9ESU6","Brd4","NA","NA",-0.181,-0.472,-0.457,0.264,-0.458,-0.605,0.191,0.096,-0.643
"P10606","COX5B","NA","NA",-0.025,-0.208,-0.235,0.111,0.105,-0.14,0.186,-0.308,-0.077
"Q14683","SMC1A","NA","NA",-0.117,0.109,-0.404,0.074,0.414,0.176,0.183,-0.211,-0.185
"Q9CU62","Smc1a","NA","NA",-0.117,0.109,-0.404,0.074,0.414,0.176,0.183,-0.211,-0.185
"P49368","CCT3","NA","NA",0.308,0.64,0.491,0.241,0.847,0.66,0.593,0.077,0.37
"P80318","Cct3","NA","NA",0.308,0.64,0.491,0.241,0.847,0.66,0.593,0.077,0.37
"Q5T8P6","RBM26","NA","NA",-0.121,-0.526,-0.62,0.205,-0.805,-0.348,-0.014,-0.178,-0.508
"Q6NZN0","Rbm26","NA","NA",-0.121,-0.526,-0.62,0.205,-0.805,-0.348,-0.014,-0.178,-0.508
"Q6NVY1","HIBCH","NA","NA",-0.166,1.06,0.9,0.225,1.039,1.248,0.215,0.228,0.555
"P0DOV1","Mnda","NA","NA",-0.1,-0.409,-0.439,-0.041,-0.303,-0.357,-0.072,0.014,-0.263
"P04040","CAT","NA","NA",0.034,-0.495,-0.52,0.357,0.177,0.064,0.175,0.791,-0.119
"Q9Y2W1","THRAP3","NA","NA",-0.537,-0.34,-0.381,-0.073,-0.35,-0.266,-0.263,0.055,-0.445
"Q13185","CBX3","NA","NA",-0.111,-0.012,0.048,-0.037,-0.004,0.116,-0.033,-0.253,-0.024
"Q96TA1","NIBAN2","NA","NA",0,0.779,0.741,0.204,0.91,0.366,0.636,0.322,0.62
"Q8R1F1","Niban2","NA","NA",0,0.779,0.741,0.204,0.91,0.366,0.636,0.322,0.62
"P12814","ACTN1","NA","NA",-0.292,0.337,0.314,0.002,0.639,0.266,0.209,0.106,0.525
"Q7TPR4","Actn1","NA","NA",-0.292,0.337,0.314,0.002,0.639,0.266,0.209,0.106,0.525
"Q99570","PIK3R4","NA","NA",-0.377,-0.284,-0.453,0.046,-0.131,-0.274,-0.262,0.55,-0.382
"Q8VD65","Pik3r4","NA","NA",-0.377,-0.284,-0.453,0.046,-0.131,-0.274,-0.262,0.55,-0.382
"O95861","BPNT1","NA","NA",-0.167,0.429,0.115,0.362,0.455,0.276,0.112,-0.155,-0.119
"P12268","IMPDH2","NA","NA",-0.203,0.169,0.205,0.07,0.148,0.281,0.108,0.129,0.066
"P24547","Impdh2","NA","NA",-0.203,0.169,0.205,0.07,0.148,0.281,0.108,0.129,0.066
"O75369","FLNB","NA","NA",0.044,0.039,0.25,0.026,-0.019,0.228,0.381,0.253,0.002
"Q9D4C5","Eaf1","NA","NA",-0.026,0.357,0.539,0.345,0.589,0.222,1.598,-0.166,0.189
"Q14247","CTTN","NA","NA",0.033,0.206,0.005,0.239,0.392,0.244,0.228,-0.023,0.19
"O43707","ACTN4","NA","NA",-0.135,0.042,0.032,-0.017,0.321,0.11,0.493,0.146,0.03
"P57780","Actn4","NA","NA",-0.135,0.042,0.032,-0.017,0.321,0.11,0.493,0.146,0.03
"Q00341","HDLBP","NA","NA",0.059,-0.006,-0.456,0.333,-0.369,0.224,0.193,0.055,0.124
"Q8VDJ3","Hdlbp","NA","NA",0.059,-0.006,-0.456,0.333,-0.369,0.224,0.193,0.055,0.124
"P54577","YARS1","NA","NA",-0.162,0.105,0.196,0.104,0.526,0.179,0.8,0.853,0.165
"Q91WQ3","Yars1","NA","NA",-0.162,0.105,0.196,0.104,0.526,0.179,0.8,0.853,0.165
"P78344","EIF4G2","NA","NA",-0.205,0.032,-0.138,-0.086,0.018,-0.022,0.132,0.314,0.005
"Q62448","Eif4g2","NA","NA",-0.205,0.032,-0.138,-0.086,0.018,-0.022,0.132,0.314,0.005
"P46777","RPL5","NA","NA",-0.232,-0.042,-0.006,0.087,0.183,0.142,0.123,-0.116,0.053
"P47962","Rpl5","NA","NA",-0.232,-0.042,-0.006,0.087,0.183,0.142,0.123,-0.116,0.053
"Q96FQ6","S100A16","NA","NA",0.101,0.359,0.226,0.402,0.344,0.359,0.279,0.047,0.557
"Q9BRA2","TXNDC17","NA","NA",-0.299,0.424,0.299,0.042,0.463,0.519,-0.019,-0.053,0.251
"A0A0J9YWL9","TEX13C","NA","NA",-0.258,-0.255,-0.114,0.094,-1.107,-0.961,-0.34,-0.143,-0.745
"O75369","FLNB","NA","NA",-0.314,-0.154,-0.177,0.122,0.176,0.118,0.292,0.37,0.098
"P37802","TAGLN2","NA","NA",0.521,0.482,0.114,0.969,0.133,0.236,0.319,0.313,-0.183
"Q9WVA4","Tagln2","NA","NA",0.521,0.482,0.114,0.969,0.133,0.236,0.319,0.313,-0.183
"Q96CB8","INTS12","NA","NA",-0.106,-0.01,0.05,0.111,-0.412,-0.179,0.034,-0.305,-0.536
"Q9D168","Ints12","NA","NA",-0.106,-0.01,0.05,0.111,-0.412,-0.179,0.034,-0.305,-0.536
"Q9Z1F9","Uba2","NA","NA",-0.12,0.137,-0.123,0.348,-0.441,0.037,-0.103,-0.064,-0.051
"Q00839","HNRNPU","NA","NA",-0.397,-0.106,-0.752,-0.015,-0.425,-0.009,0.324,-0.195,-0.387
"Q8VEK3","Hnrnpu","NA","NA",-0.397,-0.106,-0.752,-0.015,-0.425,-0.009,0.324,-0.195,-0.387
"P62258","YWHAE","NA","NA",-0.089,0.41,0.193,0.27,0.432,0.253,0.369,0.545,0.153
"P62259","Ywhae","NA","NA",-0.089,0.41,0.193,0.27,0.432,0.253,0.369,0.545,0.153
"P02795","MT2A","NA","NA",0.129,2.044,1.955,0.546,2.077,1.736,0.988,0.48,2.113
"Q9NQW6","ANLN","NA","NA",-0.651,-0.566,-0.759,0.053,-1.125,-0.578,-0.394,-0.635,-0.712
"O00338","SULT1C2","NA","NA",-0.185,0.612,0.645,-0.031,0.765,0.94,0,0.33,0.629
"Q6FIF0","ZFAND6","NA","NA",-0.051,0.297,0.035,0.31,0.19,0.313,0.177,-0.155,0.03
"Q9DCH6","Zfand6","NA","NA",-0.051,0.297,0.035,0.31,0.19,0.313,0.177,-0.155,0.03
"Q12906","ILF3","NA","NA",-0.012,-0.243,-0.476,0.021,-0.266,-0.204,-0.128,-0.093,-0.32
"Q9BVI0","PHF20","NA","NA",-0.131,-0.376,-0.647,0.169,-0.252,-0.398,0.3,0.111,-0.488
"Q8BLG0","Phf20","NA","NA",-0.131,-0.376,-0.647,0.169,-0.252,-0.398,0.3,0.111,-0.488
"Q9UKX2","MYH2","NA","NA",-1.682,-1.464,-2.816,-0.126,-1.935,-1.536,-1.668,-1.541,-2.31
"P11055","MYH3","NA","NA",-1.682,-1.464,-2.816,-0.126,-1.935,-1.536,-1.668,-1.541,-2.31
"P12882","MYH1","NA","NA",-1.682,-1.464,-2.816,-0.126,-1.935,-1.536,-1.668,-1.541,-2.31
"Q9UKX3","MYH13","NA","NA",-1.682,-1.464,-2.816,-0.126,-1.935,-1.536,-1.668,-1.541,-2.31
"P13535","MYH8","NA","NA",-1.682,-1.464,-2.816,-0.126,-1.935,-1.536,-1.668,-1.541,-2.31
"P12883","MYH7","NA","NA",-1.682,-1.464,-2.816,-0.126,-1.935,-1.536,-1.668,-1.541,-2.31
"Q5SX40","Myh1","NA","NA",-1.682,-1.464,-2.816,-0.126,-1.935,-1.536,-1.668,-1.541,-2.31
"P13541","Myh3","NA","NA",-1.682,-1.464,-2.816,-0.126,-1.935,-1.536,-1.668,-1.541,-2.31
"Q5SX39","Myh4","NA","NA",-1.682,-1.464,-2.816,-0.126,-1.935,-1.536,-1.668,-1.541,-2.31
"Q02566","Myh6","NA","NA",-1.682,-1.464,-2.816,-0.126,-1.935,-1.536,-1.668,-1.541,-2.31
"P13542","Myh8","NA","NA",-1.682,-1.464,-2.816,-0.126,-1.935,-1.536,-1.668,-1.541,-2.31
"Q91Z83","Myh7","NA","NA",-1.682,-1.464,-2.816,-0.126,-1.935,-1.536,-1.668,-1.541,-2.31
"Q15149","PLEC","NA","NA",-0.542,-0.004,0.073,-0.01,-0.075,0.38,0.072,-0.191,-0.083
"Q9QXS1","Plec","NA","NA",-0.542,-0.004,0.073,-0.01,-0.075,0.38,0.072,-0.191,-0.083
"Q13228","SELENBP1","NA","NA",-0.123,0.701,0.558,0.354,0.929,0.506,0.43,-0.097,0.471
"O60216","RAD21","NA","NA",0.154,0.681,0.515,0.33,0.289,0.371,0.106,-0.026,0.025
"Q9NTX5","ECHDC1","NA","NA",-0.023,-0.007,-0.03,0.131,-0.029,0.017,-0.096,0.316,-0.001
"Q96S55","WRNIP1","NA","NA",-0.347,-1.327,-0.725,-0.376,-2.145,-1.426,-0.309,0.02,-0.727
"P78527","PRKDC","NA","NA",-0.375,-0.007,-0.216,-0.05,0.216,0.134,-0.181,-0.237,0.005
"P42224","STAT1","NA","NA",-0.125,1.137,1.249,0.503,1.426,1.157,0.487,0.577,1.274
"Q8NC51","SERBP1","NA","NA",-0.275,-0.489,-0.156,0.094,-0.114,-0.155,0.051,0.24,-0.046
