accession_numbers,log2_TMT_127N_126_median..Basal.breast.cancer.rep2.Basal.breast.cancer.rep1.,log2_TMT_127C_126_median..Luminal.breast.cancer.rep2.Basal.breast.cancer.rep1.,log2_TMT_128N_126_median..Luminal.breast.cancer.rep1.Basal.breast.cancer.rep1.,log2_TMT_128C_126_median..Basal.breast.cancer.rep1.Basal.breast.cancer.rep1.,log2_TMT_129N_126_median..Luminal.breast.cancer.rep3.Basal.breast.cancer.rep1.,log2_TMT_129C_126_median..Luminal.breast.cancer.rep2.Basal.breast.cancer.rep1.,log2_TMT_130N_126_median..Basal.breast.cancer.rep3.Basal.breast.cancer.rep1.,log2_TMT_130C_126_median..Basal.breast.cancer.rep2.Basal.breast.cancer.rep1.,log2_TMT_131_126_median..Luminal.breast.cancer.rep1.Basal.breast.cancer.rep1.
NP_001143,-0.199,0.326,0.837,0.391,1.302,0.955,0.244,0.301,0.728
NP_031477,-0.199,0.326,0.837,0.391,1.302,0.955,0.244,0.301,0.728
NP_031716,-0.077,-0.471,-0.473,0.088,-0.646,-0.312,0.286,-0.13,-0.577
NP_598738,-0.294,0.714,0.796,0.311,0.685,0.822,-0.017,-0.217,0.862
NP_001240752,-0.324,-0.559,-0.685,0.03,-0.71,-0.445,0.008,-0.26,-0.702
NP_036440,0.094,0.115,0.31,0.038,0.183,0.137,0.326,-0.024,0.376
NP_002119,-0.141,0.311,0.113,0.158,0.301,0.384,0.166,0.15,0.161
NP_001124160,-0.141,0.311,0.113,0.158,0.301,0.384,0.166,0.15,0.161
NP_034569,-0.141,0.311,0.113,0.158,0.301,0.384,0.166,0.15,0.161
NP_032278,-0.141,0.311,0.113,0.158,0.301,0.384,0.166,0.15,0.161
NP_003512,-0.346,0.177,-0.035,0.117,-0.054,0.312,0.182,-0.243,-0.01
NP_005457,-0.438,-0.774,-1.127,0.14,-1.239,-0.898,-0.127,-0.115,-1.175
NP_081489,-0.438,-0.774,-1.127,0.14,-1.239,-0.898,-0.127,-0.115,-1.175
NP_055121,0.033,0.537,0.183,0.198,0.607,0.492,0.257,0.039,0.331
NP_663397,0.033,0.537,0.183,0.198,0.607,0.492,0.257,0.039,0.331
NP_001243211,-0.346,1.583,1.393,0.438,1.634,1.729,0.385,0.008,1.412
NP_002264,-0.346,1.583,1.393,0.438,1.634,1.729,0.385,0.008,1.412
NP_112447,-0.346,1.583,1.393,0.438,1.634,1.729,0.385,0.008,1.412
NP_066406,-0.421,-0.494,-1.2,-0.068,-0.862,-0.859,-0.087,-0.166,-0.825
NP_084358,-0.421,-0.494,-1.2,-0.068,-0.862,-0.859,-0.087,-0.166,-0.825
NP_835504,-0.421,-0.494,-1.2,-0.068,-0.862,-0.859,-0.087,-0.166,-0.825
NP_002146,-0.126,-0.667,-0.712,0.181,-0.566,-0.711,0.217,-0.119,-0.891
NP_005337,-0.126,-0.667,-0.712,0.181,-0.566,-0.711,0.217,-0.119,-0.891
NP_034608,-0.126,-0.667,-0.712,0.181,-0.566,-0.711,0.217,-0.119,-0.891
NP_038586,-0.126,-0.667,-0.712,0.181,-0.566,-0.711,0.217,-0.119,-0.891
NP_034609,-0.126,-0.667,-0.712,0.181,-0.566,-0.711,0.217,-0.119,-0.891
NP_001124336,-0.631,-0.232,-0.625,-0.062,-0.569,-0.293,-0.361,-0.644,-0.718
NP_443159,-0.631,-0.232,-0.625,-0.062,-0.569,-0.293,-0.361,-0.644,-0.718
NP_001253964,-0.631,-0.232,-0.625,-0.062,-0.569,-0.293,-0.361,-0.644,-0.718
NP_081833,-0.631,-0.232,-0.625,-0.062,-0.569,-0.293,-0.361,-0.644,-0.718
NP_001157703,-0.631,-0.232,-0.625,-0.062,-0.569,-0.293,-0.361,-0.644,-0.718
NP_002511,-0.523,0.521,-0.197,0.173,-0.113,0.517,-0.224,-0.288,-0.146
NP_954654,-0.523,0.521,-0.197,0.173,-0.113,0.517,-0.224,-0.288,-0.146
NP_001032827,-0.523,0.521,-0.197,0.173,-0.113,0.517,-0.224,-0.288,-0.146
NP_001091,-0.334,0.2,0.233,0.095,0.242,0.154,0.037,-0.095,0.193
NP_001135417,-0.334,0.2,0.233,0.095,0.242,0.154,0.037,-0.095,0.193
NP_005150,-0.334,0.2,0.233,0.095,0.242,0.154,0.037,-0.095,0.193
