Substrate_ACC,Substrate_GN,Cortex_1,Cortex_2,Cortex_3,PDGFRA_4,PDGFRA_5,PDGFRA_6,PDGFRA_7,NTRK_8,NTRK_9,NTRK_10
Q01237,Hmgcr,165561.8579,168791.8863,169411.0302,250495.5171,278287.4896,245711.3688,279285.5623,368608.7786,348476.4364,262850.7372
P18608,Hmgn1,43980.19831,41105.22996,43602.02475,72626.85757,70205.88289,72610.33155,61168.57076,85659.5608,85590.99298,68783.29843
A0A087WSB8,Hmgn3,40538.77605,43080.61505,41508.41309,105542.3104,97929.78602,118695.0993,98107.10703,134883.6998,151894.8589,98460.58569
Q80Y32,Hmgxb4,19167.23605,21902.5273,18754.84508,24212.18321,25969.03771,25336.19521,20838.58831,28946.6696,30502.1039,26675.95966
P14901,Hmox1,247613.8041,255291.3532,231835.5281,367663.4274,428213.7311,442147.5619,369810.4856,595439.3623,583568.0582,369319.7319
Q9CX86,Hnrnpa0,37347048,37339521.4,38188530.54,44640592.1,46280467.04,42033715.55,41646274.18,56084422.72,57541045.81,41564361.22
Q99020,Hnrnpab,2747860.6,2788813.391,2807298.362,4667820.538,4742024.015,4665521.974,3987116.91,5482231.017,4746443.051,3453613.287
Q9Z2X1,Hnrnpf,4948295.858,5086283.928,5163851.25,7513781.491,7407702.401,7874635.392,7416084.895,8826870.939,8886218.505,6883506.745
Q8BT23,Hnrnpk,6385755.378,6497345.839,6648318.681,8074251.65,8376476.276,8010240.822,7880878.143,10390253.44,10651266.93,7637689.216
Q91X72,Hpx,429547.0752,445069.1009,382357.2839,998167.6933,942473.2407,538373.2429,731090.2789,1186536.357,949772.8022,527189.4496
Q61645,Hr,30298.91534,34986.8127,33369.81007,39032.78156,40806.04723,42705.75611,45643.25382,50700.65632,58778.69973,45904.34676
Q9ESB3,Hrg,85437.20169,96999.60963,89608.88864,135684.0605,145857.7987,120342.5907,160872.3354,144372.0255,130227.2391,108704.6295
P51660,Hsd17b4,2102570.583,2191325.495,2197607.176,2870713.066,2770079.54,2941519.095,2625205.585,3350300.167,3409471.671,2985439.688
P38533,Hsf2,55481.24163,54503.95982,64319.96648,75667.12901,73344.37203,97793.78322,84962.51256,87197.34356,86141.24444,81274.58436
P08113,Hsp90b1,10266278.71,10472064.18,10690329.9,14808951.67,14725126.76,17481959.85,14732056.31,16859789.82,17187282.09,20060944.49
Q99M31,Hspa14,447812.2091,461104.1528,466316.7786,690205.5256,668551.0166,733183.9287,670658.7438,819127.418,781536.9923,659686.8199
P20029,Hspa5,43098748.87,44544894.43,45085923.6,59563572.56,58534101.83,70870599.96,57897078.62,66831631.66,66316265.44,83671930.78
Q9JK92,Hspb8,99248.41795,95882.09878,101016.5396,178958.6847,148628.0751,162792.6951,151032.0378,167400.4463,172728.8403,182227.5625
E9PV48,I830012O16Rik,464213.4824,498423.6754,519381.3162,1348253.372,1015938.983,1415772.828,1501490.995,1246048.185,1238055.39,1819316.643
Q8BU30,Iars,1947540.449,2050264.676,2078298.864,2904320.145,2885295.984,3072016.725,2747176.214,3243990.057,3359640.696,2727011.027
P13597,Icam1,239621.7896,239155.9413,247193.0309,437838.107,407653.7542,481093.177,396253.726,793804.3945,667111.9048,681493.6587
G3UWJ5,Icam2,158165.7727,116646.7213,119694.0378,168870.2736,159963.7969,175555.1397,150488.1086,278068.4467,263609.1755,239495.2956
P41136,Id2,33768.28364,29319.54156,31235.39085,36671.82064,39979.89517,38556.84354,48105.36877,44433.11038,61644.59958,38031.10093
Q9JHR7,Ide,1287841.335,1310928.913,1309383.473,1793611.6,1758022.871,1898435.845,1703328.778,2164315.603,2109022.515,1910785.689
Q8R0J8,Idnk,116193.5271,110508.3711,109911.823,141968.9912,132744.5045,135910.9971,136204.3921,191756.1432,195438.2839,170573.5801
Q62293,Ifggb5,1749856.76,1785976.454,1952085.656,3558147.819,3699378.142,4114884.056,3916857.33,5471430.275,5014595.326,5094050.351
Q9R002,Ifi202,206791.269,203609.2889,214838.3819,325140.7234,282194.5463,353007.0322,322313.6167,510932.9624,402689.2362,527000.8103
P15092,Ifi204,196216.1859,210062.8887,210672.4572,376427.5807,327194.4907,485189.5844,339602.3299,634091.5016,540417.7879,635408.9169
Q08619,Ifi205b,85120.88995,92693.76824,93262.37239,147136.661,134530.043,194055.9111,134405.2953,280012.3326,246246.4013,257648.6102
Q8BV66,Ifi44,101400.5684,102925.9142,103718.4247,178976.4808,160133.952,125297.2309,149933.95,236818.7268,232360.0816,329802.3379
